category,Risk,txt,bullet1,bullet2,bullet3,ref
III. Safety,Serious drug reaction/device effect,Consider if the trial therapeutic intervention is known to have any serious drug reaction/device effect. Have any events of special interest been identified? Consider any protocol-specific reporting requirements for Serious Adverse Events (SAEs).,"Impact: e.g. this should be low (score = 1), if the Investigational Medical Product (IMP) is a marketed drug with a well-known safety profile.","Occurrence: make an estimate, according to actual knowledge.",Detectability: the score will depend on the depth of documentation of Adverse Events (AEs) in health data records.,III_reaction
III. Safety,Interactions,"Consider if there is a lack of previous experience on combination of trial therapeutic intervention being studied and other intervention/medications/devices. Pay particular attention to any basic or background therapies, prescribed, recommended, or allowed by the protocol, and to the timescale of potential interactions (see www.epocrates.com).",Impact: e.g. a study with two combined chemotherapies will have a higher impact on the subject’s safety.,"Occurrence: make an estimate, according to the pharmacokinetic profile of the IMP.",Detectability: this depends on the documentation of concomitant treatments in health data records.,III_interaction
III. Safety,Subject population’s conditions,"Consider if the subject population's condition is critically severe: potential for SAEs/subject risk, or complexity of disease state. Consider high WHO/ECOG scores (in oncological subjects).",Impact: this depends on the study.,Occurrence: the score should be high if the population is constituted of subjects with multiple ongoing diseases.,Detectability: this depends on the documentation of medical histories in health data records.,III_cond
"IV. Intervention (IMP, IMD, surgery, etc.)",Actual knowledge,"Consider if there is only very limited knowledge about at least one of the trial therapeutic interventions: experience of the sites, special logistic requirements, product stability and expiry dates, likelihood of serious drug reaction/device effect, relative to standard medical care.",Impact: e.g. a first-in-human study should be score = 3.,"Occurrence: e.g. in a study with two groups, one receiving the IMP, the other receiving a placebo, score = 2 (medium).",Detectability: this depends on the intervention.,IV_knowledge
"IV. Intervention (IMP, IMD, surgery, etc.)",Administration,"Consider if IMP administration or MD utilisation is unusual, complex, etc.","Impact: e.g. in a study with a chemotherapy administered intraperitoneally, while usually administered intravenously, score = 3.",Occurrence: It should often be score = 3.,Detectability: this depends on the intervention.,IV_admin
"IV. Intervention (IMP, IMD, surgery, etc.)",Logistics,"Are there any essential/unusual storage, preparation, or destruction requirements for the IMP or Investigational Medical Device (IMD)? It is necessary to analyse whether non-compliance with the storage requirements will actually increase the risk. Are there other trials using the same IMP/IMD (and, if so, evaluate the risk of confusion)?",Impact: e.g. a study with IMP storage at 2 to -8°C should at least be score = 2.,Occurrence: this should often be score = 3.,Detectability: this should be quite easy to detect (score = 1).,IV_logisitics
"IV. Intervention (IMP, IMD, surgery, etc.)",Accidental or deliberate unblinding,"E.g. by obtaining laboratory values from a local laboratory, physical differences between placebo and verum, adverse events, unblinding of a subject for treatment decision after trial treatment, etc.","Impact: e.g. in a study testing placebo versus an IMP with frequent Adverse Drug Reactions (ADRs), the score should be = 3 (high).",Occurrence: this should often be score = 3.,Detectability: this depends on the study design.,IV_unblind
V. Management,Sites,"Are there enough staff? Qualified staff? Consider if the site or Principal Investigator (PI) is aware of their responsibilities (coordination/clarification of all issues/matters between the PI’s unit and other units at their hospital e.g. radiology department, laboratory, etc.).","Impact: e.g. in a monocentric study with a non-experienced site, score = 3.","Occurrence: the overall participation is evaluated here (0–20 % of all sites evaluated as problematic = low occurrence (score = 1); 21–40% of all sites evaluated as problematic = medium occurrence (score = 2); 41–100% of all sites evaluated as problematic = high occurrence, score = 3).","Detectability: this can be easily detected by checking training logs, etc., then score = 1.",V_sites
V. Management,Technical requirements,"Consider if there are any technical requirements for the trial sites, e.g. access to diagnostic equipment, emergency equipment, unusual assessments to be done locally, new assessment tools, any essential processing, transport and/or storage requirements for material samples (e.g. biological samples, bio-banking which would require a fridge, freezer, a -80°C freezer, centrifuges, etc.) Consider to what extent the incorrect handling of samples may be critical.","Impact: e.g. in a study sharing a hyperbaric chamber with clinical use, the impact should be high (score = 3).",Occurrence: this depends on the study design/intervention.,Detectability: this depends on the study design/intervention.,V_tech
V. Management,Staff requirements,"Consider if there are any essential personnel requirements for the trial sites, e.g. trial-specific knowledge or training certificates, training requirements for assessment of the primary endpoint, specialised laboratory staff.","Impact: e.g. in a surgical trial testing a new technique, the impact should be high (score = 3).",Occurrence: this depends on the study design.,"Detectability: this depends on the quality of documentation, e.g. in a medical device trial, the level of details of the Instructions for Use (IFU).",V_staff
VI. Data,Volume/complexity,Consider the volume and complexity of data to be collected and if the source data is well identified.,Impact: this should often be score = 3.,Occurrence: this should often be score = 3.,Detectability: this should often be score = 1.,VI_datavol
VI. Data,CRF quality,"Consider eCRF vs. pCRF (electronic vs. paper-based Case Report Form), design, and software used (such as automatic checks, rules, or monitor’s role).","Impact: e.g. if the eCRF does not have automatic checks implemented or no queries can be issued, then score = 3.",Occurrence: this should often be score = 3.,Detectability: this should be anticipated in order that score = 1.,VI_crfqual
